V28,Name,Special,ADC0,AC0,DAC0,ZCD3,USARTn,SPI0,TWI0,TCA0,TCBn,TCD0,EVSYS,CCL-LUTn
1,PA3,"TWI\\nFm+",AIN23,,,,"0,XDIR\\n0,RxD(3)",,SCL(H),WO3,"1,WO",,,"0,OUT"
2,PA4,,AIN24,,,,"0,TxD(3)",MOSI,,WO4,,WOA,,
3,PA5,,AIN25,,,,"0,RxD(3)",MISO,,WO5,,WOB,,
4,PA6,,AIN26,,,,"0,XCK(3)",SCK,,,,WOC,,"0,OUT(3)"
5,PA7,CLKOUT,AIN27,OUT,,ZCOUT,"0,XDIR(3)",SS,,,,WOD,EVOUTA(3),
6,PC0,,AIN28(6),,,,"1,TxD","SCK(3)\\nMOSI(3)",,WO0(3),"2,WO",,,"1,IN0"
7,PC1,,AIN29(6),,,,"1,RxD\\n0,TxD(3)","SS(3)\\nMISO(3)\\nMOSI(3)",,WO1(3),,,,"1,IN1"
8,PC2,"TWI\\nFm+",AIN30(6),AINN3(6),,ZCIN,"1,XCK\\n0,RxD(3)","SCK(3)\\nMISO(3)","SDA(C)\\nSDA(H)(3)",WO2(3),,,EVOUTC,"1,IN2"
9,PC3,"TWI\\nFm+",AIN31(6),AINP4(6),,,"1,XDIR\\n0,XCK(3)","SS(3)\\nSCK(3)","SCL(S)\\nSCL(H)(3)",WO3(3),,,,"1,OUT"
10,VDDIO2,,,,,,,,,,,,,
11,PD1,,AIN1,,,,,,,WO1(3),,,,"2,IN1"
12,PD2,,AIN2,AINP0,,,,,,WO2(3),,,EVOUTD,"2,IN2"
13,PD3,,AIN3,AINN0,,,,,,WO3(3),,,,"2,OUT"
14,PD4,,AIN4,,,,"0,TxD(3)",MOSI(3),,WO4(3),,WOC(3),,
15,PD5,,AIN5,,,,"0,RxD(3)",MISO(3),,WO5(3),,WOD(3),,
16,PD6,,AIN6,AINP3,VOUT,,"0,XCK(3)\\n1,TxD(3)",SCK(3),,,,,,"2,OUT(3)"
17,PD7,VREFA,AIN7,AINN2,,,"0,XDIR(3)\\n1,RxD(3)",SS(3),,,,,EVOUTD(3),
18,AVDD,,,,,,,,,,,,,
19,GND,,,,,,,,,,,,,
20,PF0,XTAL32K1,AIN16,,,,,,,WO0(3),,WOA(3),,"3,IN0"
21,PF1,XTAL32K2,AIN17,,,,,,,WO1(3),,WOB(3),,"3,IN1"
22,PF6(5),RESET,,,,,,,,,,,,
23,PF7,UPDI,,,,,,SS(3),,,,,EVOUTF(3),
24,VDD,,,,,,,,,,,,,
25,GND,,,,,,,,,,,,,
26,PA0,"XTALHF1\\nEXTCLK",,,,,"0,TxD",MOSI(3),SDA(H)(3),WO0,,,,"0,IN0"
27,PA1,XTALHF2,,,,,"0,RxD",MISO(3),SCL(H)(3),WO1,,,,"0,IN1"
28,PA2,"TWI\\nFm+",AIN22,,,,"0,XCK\\n0,TxD(3)",,SDA(H),WO2,"0,WO",,EVOUTA,"0,IN2"
